S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Strength,Acceptance Value,CU Ave. (%LC),CU %RSD,Ave. Disso @30 (%),Disso Min (%),Disso. Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,UNIT 07,UNIT 08,UNIT 09,UNIT10,UNIT 11,UNIT 12,Assay (%LC),Assay/Strength * 100,Ind. Imp (%),Tot. Imp. (%),Physical Imperfections (Defects),,,,,Tot. Aerobic Ct. (TAMC),Tot. Yeast/Molds Ct. (TYMC),E. Coli,Salmonella,Enterobac.
213,4B77868S-MICRO-0142966,4B77868S,2/28/2014,1136209,0.5,4.7,98.8,2,98,94,S1,94,101,100,96,98,98,,,,,,,0.49,98,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
214,4B77869S-MICRO-0142971,4B77869S,3/3/2014,1136209,0.5,4.9,98.1,1.9,99,96,S1,99,101,96,102,101,96,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,12,12,<10,<5,ABSENT_1G,ABSENT_10G,<10
215,4B80227S-MICRO-0144939,4B80227S,3/4/2014,1136209,0.5,2.8,98.8,1.2,99,95,S1,101,103,101,95,96,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
216,4B80228S-MICRO-0144945,4B80228S,3/8/2014,1136209,0.5,3.4,99.1,1.4,100,97,S1,97,101,100,101,98,100,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
217,4B80233S-MICRO-0144970,4B80233S,3/11/2014,1298655,0.5,1.6,101.2,3.9,102,99,S1,102,102,99,105,100,102,,,,,,,0.51,102,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
218,4B80234S-MICRO-0144979,4B80234S,3/12/2014,1298655,0.5,1.9,101.7,4.7,102,101,S1,101,102,102,103,103,101,,,,,,,0.516,103.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
219,4B80235S-MICRO-0144985,4B80235S,4/21/2014,1298655,0.5,1.4,101.4,3.3,100,98,S1,101,100,100,98,101,100,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
220,4D78733S-MICRO-0151187,4D78733S,4/22/2014,1298655,0.5,1.3,100.9,3.1,99,97,S1,97,101,102,97,98,101,,,,,,,0.509,101.8,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
221,4D78734S-MICRO-0151192,4D78734S,4/23/2014,1298655,0.5,1.2,101.1,2.9,101,99,S1,99,101,99,101,101,102,,,,,,,0.512,102.4,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
222,4D78735S-MICRO-0151197,4D78735S,4/24/2014,1298655,0.5,1.4,100.8,3.4,100,98,S1,101,101,99,98,102,100,,,,,,,0.506,101.2,<0.10,<0.10,0,0,0,11,11,<10,<5,ABSENT_1G,ABSENT_10G,<10
223,4D78736S-MICRO-0151202,4D78736S,4/25/2014,1298655,0.5,0.9,101.6,2.2,100,99,S1,100,101,101,99,100,101,,,,,,,0.511,102.2,<0.10,<0.10,0,0,0,21,21,<10,<5,ABSENT_1G,ABSENT_10G,<10
224,4D78737S-MICRO-0151207,4D78737S,4/26/2014,1298655,0.5,1.1,100.8,2.7,100,98,S1,101,99,98,99,99,101,,,,,,,0.507,101.4,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
225,4D78738S-MICRO-0151212,4D78738S,4/30/2014,1298655,0.5,1.5,101.1,3.6,102,99,S1,101,100,102,104,103,99,,,,,,,0.505,101,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
226,4D78739S-MICRO-0151217,4D78739S,5/1/2014,1298655,0.5,1.6,101.3,3.8,100,98,S1,101,102,99,98,99,102,,,,,,,0.503,100.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
227,4D78740S-MICRO-0151222,4D78740S,5/2/2014,1298655,0.5,1,100.7,2.3,99,96,S1,99,99,96,101,101,100,,,,,,,0.506,101.2,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
228,4D78741S-MICRO-0151227,4D78741S,5/3/2014,1298655,0.5,1.3,100.2,3.1,99,94,S1,100,99,94,99,97,102,,,,,,,0.507,101.4,<0.10,<0.10,0,0,0,9,9,<10,<5,ABSENT_1G,ABSENT_10G,<10
229,4B80229S-MICRO-0144950,4B80229S,5/7/2014,1136209,0.5,3.2,99.3,1.3,101,99,S1,103,102,99,100,100,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,1,6,7,<10,<5,ABSENT_1G,ABSENT_10G,<10
230,4B80230S-MICRO-0144955,4B80230S,5/8/2014,1136209,0.5,2.8,98.1,1,100,96,S1,96,103,101,100,98,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
231,4D80655S-MICRO-0152817,4D80655S,5/9/2014,1136209,0.5,3.4,99.1,1.4,100,97,S1,97,101,100,101,98,100,,,,,,,0.493,98.6,<0.10,<0.10,0,0,1,5,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
232,4D80656S-MICRO-0152826,4D80656S,5/10/2014,1136209,0.5,3.2,99.3,1.3,101,99,S1,103,102,99,100,100,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
233,4D80657S-MICRO-0152831,4D80657S,5/11/2014,1136209,0.5,2.8,99.8,1.2,97,94,S1,96,94,98,100,99,97,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
234,4D80658S-MICRO-0152836,4D80658S,5/12/2014,1136209,0.5,2,99.2,0.8,98,93,S1,98,101,100,93,96,97,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
235,4D80659S-MICRO-0152841,4D80659S,,1136209,0.5,3.2,98.9,1.3,100,99,S1,100,99,101,101,99,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
236,4D80660S-MICRO-0152846,4D80660S,7/1/2014,1136209,0.5,4.9,98.7,2.1,98,95,S1,96,99,97,99,99,95,,,,,,,0.485,97,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
237,4E81018S-MICRO-0158055,4E81018S,7/3/2014,1136209,0.5,3.3,99.4,1.4,99,97,S1,97,99,98,102,100,99,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
238,4E81019S-MICRO-0158060,4E81019S,7/7/2014,1136209,0.5,4.5,99.7,1.9,98,95,S1,95,97,97,101,102,95,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
239,4E81020S-MICRO-0158065,4E81020S,7/8/2014,1136209,0.5,3.7,99.1,1.5,100,99,S1,100,99,99,101,100,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
240,4E81021S-MICRO-0158070,4E81021S,7/9/2014,1136209,0.5,3.8,99.6,1.6,98,97,S1,97,100,98,98,99,98,,,,,,,0.5,100,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
241,4E81022S-MICRO-0158076,4E81022S,7/22/2014,1136209,0.5,3.1,98.3,1.2,98,95,S1,100,100,100,96,95,97,,,,,,,0.496,99.2,<0.10,<0.10,,,,,,<10,<5,ABSENT_1G,ABSENT_10G,<10
242,4E81023S-MICRO-0158093,4E81023S,7/23/2014,1136209,0.5,4,98.5,1.6,98,96,S1,99,100,97,98,96,97,,,,,,,0.5,100,<0.10,<0.10,0,0,3,0,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
247,4E81027S-CHEM-0158112,4E81027S,8/1/2014,1298655,0.5,2.7,99.6,1.1,98,92,S1,101,92,100,98,97,101,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
248,4E81028S-CHEM-0158117,4E81028S,8/2/2014,1298655,0.5,3,99.9,1.2,99,94,S1,100,101,96,101,94,99,,,,,,,0.505,101,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
243,4F80417S-MICRO-0161719,4F80417S,8/5/2014,1136209,0.5,2.6,99.2,1.1,98,94,S1,98,94,97,98,99,101,,,,,,,0.499,99.8,<0.10,<0.10,0,0,2,1,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
244,4F80418S-MICRO-0161724,4F80418S,8/5/2014,1136209,0.5,3.4,99.4,1.4,99,97,S1,100,99,98,97,98,100,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
245,4F80419S-MICRO-0161729,4F80419S,8/5/2014,1136209,0.5,2,99.8,0.9,97,95,S1,98,95,95,98,96,97,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,10,10,<10,<5,ABSENT_1G,ABSENT_10G,<10
246,4F80420S-MICRO-0161734,4F80420S,8/6/2014,1136209,0.5,4.8,98.7,2,97,94,S1,94,98,95,95,101,99,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
249,4F80421S-MICRO-0161739,4F80421S,8/7/2014,1136209,0.5,4.4,98.1,1.7,96,91,S1,95,94,98,91,98,98,,,,,,,0.495,99,<0.10,<0.10,0,0,7,6,13,<10,<5,ABSENT_1G,ABSENT_10G,<10
250,4F80422S-MICRO-0161744,4F80422S,8/8/2014,1136209,0.5,3.8,99.4,1.6,99,97,S1,99,97,97,100,101,97,,,,,,,0.5,100,<0.10,<0.10,0,0,0,14,14,<10,<5,ABSENT_1G,ABSENT_10G,<10
251,4F80423S-MICRO-0161749,4F80423S,8/9/2014,1136209,0.5,3.5,101.7,1.4,97,96,S1,98,98,96,96,97,98,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
252,4F80424S-MICRO-0161754,4F80424S,8/10/2014,1136209,0.5,3.5,101.2,1.4,102,101,S1,103,101,101,101,102,102,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,9,9,<10,<5,ABSENT_1G,ABSENT_10G,<10
253,4F80425S-MICRO-0161759,4F80425S,8/11/2014,1298655,0.5,4.5,100.4,1.9,98,95,S1,95,98,96,100,99,99,,,,,,,0.496,99.2,<0.10,<0.10,0,0,1,7,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
254,4F80426S-MICRO-0161764,4F80426S,8/12/2014,1298655,0.5,3.2,100.5,1.3,99,97,S1,97,101,99,100,101,98,,,,,,,0.505,101,<0.10,<0.10,0,0,0,17,17,<10,<5,ABSENT_1G,ABSENT_10G,<10
255,4F80427S-MICRO-0161769,4F80427S,8/13/2014,1298655,0.5,2.9,100.8,1.2,98,95,S1,100,100,95,97,100,96,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
256,4H69551S-MICRO-0169025,4H69551S,9/2/2014,1136209,0.5,3.3,101.5,1.4,101,97,S1,97,102,102,103,99,102,,,,,,,0.506,101.2,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
257,4H69552S-MICRO-0169032,4H69552S,9/3/2014,1136209,0.5,4,101.9,1.5,99,94,S1,98,102,100,103,100,94,,,,,,,0.507,101.4,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
258,4H69553S-MICRO-0169042,4H69553S,9/4/2014,1136209,0.5,3.5,101.4,1.5,100,98,S1,100,98,102,99,100,101,,,,,,,0.507,101.4,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
259,4H70989S-MICRO-0170426,4H70989S,9/5/2014,1136209,0.5,2.6,101.2,1.1,99,97,S1,99,98,100,99,97,100,,,,,,,0.511,102.2,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
260,4H70990S-MICRO-0170431,4H70990S,9/6/2014,1136209,0.5,2.2,101,0.9,100,97,S1,97,102,97,103,101,101,,,,,,,0.506,101.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
261,4H70991S-MICRO-0170436,4H70991S,9/7/2014,1136209,0.5,2,101.3,0.8,100,97,S1,97,99,102,102,100,99,,,,,,,0.512,102.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
262,4H70992S-MICRO-0170441,4H70992S,9/10/2014,1136209,0.5,3.6,101.5,1.5,101,99,S1,99,102,99,102,102,100,,,,,,,0.506,101.2,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
263,4J81087S-MICRO-0173816,4J81087S,9/26/2014,1136209,0.5,3.1,99.2,1.3,99,96,S1,100,99,98,99,96,100,,,,,,,0.499,99.8,<0.10,<0.10,0,0,1,2,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
264,4J81088S-MICRO-0173821,4J81088S,9/27/2014,1136209,0.5,4.2,100.4,1.7,98,96,S1,96,99,97,100,99,98,,,,,,,0.507,101.4,<0.10,<0.10,0,0,0,11,11,<10,<5,ABSENT_1G,ABSENT_10G,<10
265,4J81089S-MICRO-0173826,4J81089S,9/28/2014,1136209,0.5,2.7,99.3,1.1,100,96,S1,96,101,98,102,102,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,13,13,<10,<5,ABSENT_1G,ABSENT_10G,<10
266,4J81090S-MICRO-0173831,4J81090S,9/29/2014,1136209,0.5,2.1,99.9,0.9,99,96,S1,101,101,96,100,98,100,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
267,4J81091S-MICRO-0173836,4J81091S,9/30/2014,1136209,0.5,2.6,99,1.1,100,99,S1,99,100,101,101,101,100,,,,,,,0.493,98.6,<0.10,<0.10,0,0,4,4,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
268,4H69572S-MICRO-0169111,4H69572S,10/1/2014,1298655,0.5,2.1,99.8,0.9,98,96,S1,96,98,98,96,100,98,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
269,4H69573S-MICRO-0169116,4H69573S,10/3/2014,1298655,0.5,3,100.4,1.2,99,98,S1,99,98,101,99,99,98,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
270,4H69574S-MICRO-0169121,4H69574S,10/4/2014,1298655,0.5,2.6,99.9,1.1,99,97,S1,98,97,100,98,101,101,,,,,,,0.505,101,<0.10,<0.10,0,0,0,4,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
271,4K81676S-MICRO-0176425,4K81676S,11/12/2014,1136209,0.5,2.7,98.9,1.1,100,96,S1,97,102,101,102,100,96,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
272,4K81677S-MICRO-0176445,4K81677S,11/13/2014,1136209,0.5,3.6,99.9,1.5,100,96,S1,96,100,102,101,98,102,,,,,,,0.507,101.4,<0.10,<0.10,0,0,0,11,11,<10,<5,ABSENT_1G,ABSENT_10G,<10
273,4K81678S-MICRO-0176450,4K81678S,11/14/2014,1136209,0.5,3.6,99.4,1.5,99,98,S1,98,99,102,98,100,98,,,,,,,0.495,99,<0.10,<0.10,0,0,0,8,8,<10,<5,ABSENT_1G,ABSENT_10G,<10
274,4K81679S-MICRO-0176455,4K81679S,11/15/2014,1136209,0.5,3,100.4,1.3,98,95,S1,99,95,97,99,99,99,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,10,10,<10,<5,ABSENT_1G,ABSENT_10G,<10
275,4K81680S-MICRO-0176460,4K81680S,11/16/2014,1136209,0.5,3.3,99.8,1.4,99,96,S1,96,100,100,100,98,99,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,9,9,<10,<5,ABSENT_1G,ABSENT_10G,<10
276,4K81681S-MICRO-0176534,4K81681S,11/17/2014,1136209,0.5,2.4,99.3,1,99,98,S1,102,99,99,100,98,98,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
277,4K81683S-MICRO-0176544,4K81683S,11/20/2014,1298655,0.5,3.2,101.2,1.3,99,97,S1,98,98,97,100,98,100,,,,,,,0.506,101.2,<0.10,<0.10,0,0,0,11,11,<10,<5,ABSENT_1G,ABSENT_10G,<10
278,4K81684S-MICRO-0176549,4K81684S,11/21/2014,1298655,0.5,3.6,100.1,1.5,99,98,S1,99,98,101,98,101,99,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,11,11,10,<5,ABSENT_1G,ABSENT_10G,<10
279,4L77801S-MICRO-0181992,4L77801S,12/8/2014,1298655,0.5,2.5,99.2,1,100,99,S1,100,102,99,100,99,100,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
280,4L77794S-MICRO-0181957,4L77794S,12/11/2014,1136209,0.5,2.9,99.6,1.2,99,96,S1,99,100,96,99,97,100,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
281,4L77795S-MICRO-0181962,4L77795S,12/12/2014,1136209,0.5,2.5,100.5,1,100,99,S1,101,100,99,101,100,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
282,4L77796S-MICRO-0181967,4L77796S,12/13/2014,1136209,0.5,2.9,100.1,1.2,97,96,S1,96,100,96,96,100,97,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
283,4L77797S-MICRO-0181972,4L77797S,12/14/2014,1136209,0.5,4.3,100,1.8,99,97,S1,100,100,97,99,99,100,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
284,4L77798S-MICRO-0181977,4L77798S,12/15/2014,1136209,0.5,2.3,100,1,98,97,S1,99,100,99,98,98,97,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
285,4L77799S-MICRO-0181982,4L77799S,12/16/2014,1298655,0.5,3.6,98.5,1.5,100,99,S1,99,100,100,99,100,100,,,,,,,0.504,100.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
286,4L77800S-MICRO-0181987,4L77800S,12/17/2014,1298655,0.5,2.5,98.7,1,99,95,S1,95,97,99,101,99,101,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
287,5A86588S-MICRO-0188789,5A86588S,1/21/2015,1136209,0.5,4.8,100.5,2,100,98,S1,100,101,100,100,98,101,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,14,14,<10,<5,ABSENT_1G,ABSENT_10G,<10
288,5A86589S-MICRO-0188757,5A86589S,1/22/2015,1136209,0.5,3.8,99,1.6,100,98,S1,100,98,102,101,100,100,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
289,5A86590S-MICRO-0188762,5A86590S,1/23/2015,1136209,0.5,2.9,98.1,1,99,98,S1,98,101,100,100,100,99,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
293,5A86591S-MICRO-0188767,5A86591S,,1136209,0.5,1.7,98.9,0.7,98,97,S1,99,101,99,97,97,97,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
294,5A86592S-MICRO-0188772,5A86592S,,1136209,0.5,2.6,99.7,1.1,101,99,S1,99,101,100,102,100,101,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
295,5A87400S-MICRO-0189067,5A87400S,,1136209,0.5,3.1,99.5,1.3,101,99,S1,104,100,99,102,100,101,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,7,7,<10,<5,ABSENT_1G,ABSENT_10G,<10
296,5A87402S-MICRO-0189072,5A87402S,,1136209,0.5,2.3,99,1,101,100,S1,100,102,101,101,100,101,,,,,,,0.494,98.8,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
297,5A87403S-MICRO-0189077,5A87403S,,1136209,0.5,2.5,98.7,1,99,97,S1,98,99,100,97,100,98,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
298,5A87404S-MICRO-0189082,5A87404S,,1136209,0.5,2.1,98.4,0.9,99,98,S1,100,99,99,99,98,101,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
299,5A87405S-MICRO-0189087,5A87405S,,1136209,0.5,2.8,98.9,1.2,101,98,S1,102,101,103,102,101,98,,,,,,,0.495,99,<0.10,<0.10,0,0,1,11,12,<10,<5,ABSENT_1G,ABSENT_10G,<10
300,5A87406S-MICRO-0189092,5A87406S,,1136209,0.5,2.6,99.3,1.1,100,98,S1,98,101,98,101,100,99,,,,,,,0.489,97.8,<0.10,<0.10,0,0,0,9,9,<10,<5,ABSENT_1G,ABSENT_10G,<10
301,5A87407S-MICRO-0189097,5A87407S,,1136209,0.5,3.1,99.1,1.3,99,97,S1,97,101,98,100,100,98,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,5B82360S-MICRO-0193611,5B82360S,,1136209,0.5,3.4,99.5,1.4,99,98,S1,100,101,99,98,98,98,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
303,5B82361S-MICRO-0193617,5B82361S,,1136209,0.5,3,101.2,1.2,101,98,S1,102,100,102,98,101,103,,,,,,,0.5,100,<0.10,<0.10,0,0,0,11,11,<10,<5,ABSENT_1G,ABSENT_10G,<10
304,5B82362S-MICRO-0193622,5B82362S,,1136209,0.5,3.1,99.6,1.3,99,98,S1,99,102,98,98,99,98,,,,,,,0.501,100.2,<0.10,<0.10,0,0,0,10,10,<10,<5,ABSENT_1G,ABSENT_10G,<10
305,5B82363S-MICRO-0193627,5B82363S,,1136209,0.5,3.7,98.2,1.4,98,96,S1,96,100,99,97,99,98,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
306,5B82383S-MICRO-0193916,5B82383S,,1136209,0.5,3,99.8,1.3,100,98,S1,99,103,100,100,98,98,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,6,6,<10,<5,ABSENT_1G,ABSENT_10G,<10
307,5B82384S-MICRO-0193921,5B82384S,,1136209,0.5,2.8,98.6,1.2,98,96,S1,97,99,97,96,97,99,,,,,,,0.5,100,<0.10,<0.10,0,0,0,16,16,<10,<5,ABSENT_1G,ABSENT_10G,<10
308,5B82385S-MICRO-0193926,5B82385S,,1136209,0.5,5.3,100.1,2.2,98,94,S1,96,98,94,99,100,98,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,13,13,<10,<5,ABSENT_1G,ABSENT_10G,<10
309,5B82386S-MICRO-0193931,5B82386S,,1136209,0.5,4.5,99.3,1.9,99,98,S1,98,99,98,99,99,99,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,7,7,<10,<5,ABSENT_1G,ABSENT_10G,<10
310,5B82387S-MICRO-0193936,5B82387S,,1136209,0.5,3.2,99.4,1.3,97,96,S1,97,99,96,99,99,96,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
311,5B82388S-MICRO-0193941,5B82388S,,1136209,0.5,3.8,98.7,1.6,100,96,S1,96,102,97,101,101,100,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
312,5B82389S-MICRO-0193946,5B82389S,,1136209,0.5,3.2,99.2,1.3,99,94,S1,99,101,94,101,99,99,,,,,,,0.491,98.2,<0.10,<0.10,0,1,0,19,20,<10,<5,ABSENT_1G,ABSENT_10G,<10
313,5C90675S-MICRO-0200537,5C90675S,,1136209,0.5,3.6,99,1.5,97,93,S1,99,100,97,96,93,96,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,9,9,<10,<5,ABSENT_1G,ABSENT_10G,<10
314,5C90676S-MICRO-0200542,5C90676S,,1136209,0.5,2.9,98.9,1.2,99,98,S1,98,100,99,100,99,98,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
315,5C90677S-MICRO-0200547,5C90677S,,1136209,0.5,3.3,99.5,1.4,98,96,S1,97,97,99,96,100,99,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,11,11,<10,<5,ABSENT_1G,ABSENT_10G,<10
316,5C90678S-MICRO-0200552,5C90678S,,1136209,0.5,4,99.6,1.7,99,96,S1,96,100,99,97,101,100,,,,,,,0.502,100.4,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
317,5C90679S-MICRO-0200557,5C90679S,,1136209,0.5,3.1,98.8,1.3,99,97,S1,99,101,97,97,99,98,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,5,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
318,5C90680S-MICRO-0200562,5C90680S,,1136209,0.5,3.1,98.7,1.3,99,98,S1,98,99,100,99,101,98,,,,,,,0.494,98.8,<0.10,<0.10,0,0,1,4,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
319,5C90681S-MICRO-0200567,5C90681S,,1136209,0.5,3.1,98.7,1.3,98,97,S1,97,100,99,98,99,98,,,,,,,0.496,99.2,<0.10,<0.10,0,0,4,3,7,<10,<5,ABSENT_1G,ABSENT_10G,<10
320,5C90682S-MICRO-0200572,5C90682S,,1136209,0.5,3.1,98.5,1.3,98,92,S1,98,99,92,99,99,101,,,,,,,0.493,98.6,<0.10,<0.10,0,0,1,4,5,<10,<5,ABSENT_1G,ABSENT_10G,<10
321,5C90683S-MICRO-0200577,5C90683S,,1136209,0.5,2.6,98.9,1.1,98,95,S1,99,98,95,98,100,99,,,,,,,0.492,98.4,<0.10,<0.10,0,0,1,3,4,<10,<5,ABSENT_1G,ABSENT_10G,<10
322,5C90684S-MICRO-0200586,5C90684S,,1136209,0.5,4.3,97.8,1.5,98,97,S1,97,100,97,99,97,98,,,,,,,0.498,99.6,<0.10,<0.10,0,0,10,4,14,<10,<5,ABSENT_1G,ABSENT_10G,<10
